题目ID,分区,原题号,总分,主类型,细分标签,Level,答案来源文件,答案来源成员,答案成员SHA256,审计状态,Task4处理结论,Joy审批
M2QD-DA-EXAMPLE-Q1,教材例题,EXAMPLE-Q1,7,切线与法线,过指定点的切线；切点未知,3,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,Task 3已通过,未批准
M2QD-DA-EXAMPLE-Q2,教材例题,EXAMPLE-Q2,,极值与曲线性质,极大点,3,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,Task 3已通过,未批准
M2QD-DA-EXAMPLE-Q3,教材例题,EXAMPLE-Q3,4,最值与最优化,全局最小值,4,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,词表V1.1加入全局最小值；题目要求在定义域内找全局最小值。,未批准
M2QD-DA-EXAMPLE-Q4,教材例题,EXAMPLE-Q4,6,极值与曲线性质,拐点,3,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,Task 3已通过,未批准
M2QD-DA-EXAMPLE-Q5,教材例题,EXAMPLE-Q5,3,极值与曲线性质,渐近线,2,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,Task 3已通过,未批准
M2QD-DA-EXAMPLE-Q6,教材例题,EXAMPLE-Q6,12,综合微分应用,切点未知求法线；几何最优化；相关变化率；面积变化；建立变量关系；综合题目,5,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,英文公式定界与变率上界已按校订记录确认。,未批准
M2QD-DA-EXAMPLE-Q7,教材例题,EXAMPLE-Q7,6,变率,相关变化率；几何量变化；面积变化；链式法则建模；建立变量关系,4,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,Task 3已通过,未批准
M2QD-DA-EXAMPLE-Q8,教材例题,EXAMPLE-Q8,9,综合微分应用,极大点；极小点；二阶导数判别法；已知切点求切线；凹凸性；综合题目,4,M2Quick Drill-微分法的应用.mmd.zip,ab3a3800-3b11-4cb8-af40-46ce05caf9f6.mmd,4b963982fc5f5b0c4efc94ab64c76b6421c8f0389e7025f110783799b2c1fac5,audit_passed,采用严谨表述：图像不高于切线，且除切点外严格低于。,未批准
M2QD-DA-TRAIN-Q1,应试训练,TRAIN-Q1,6,切线与法线,切点未知；隐函数求导,3,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
M2QD-DA-TRAIN-Q2,应试训练,TRAIN-Q2,6,切线与法线,过指定点的切线；切点未知；隐函数求导,4,微分的应用甲部.mmd.zip,c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd,bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,audit_passed,已按Task 4核验并关闭来源映射、分值或内容待决项。,未批准
